Place overall,Place gender,Place category,Name,Club,Runner no,Category,HALF,FINISH,,year
2498,122,87,"» Cousins, Katherine (GBR)",Lancaster ...,335,18-39,01:29:40,03:04:10,,2016
2506,123,88,"» Gray, Nikki S (GBR)",Reading ...,151,18-39,01:26:22,03:04:15,,2016
123,123,16,"» Quinlan, Frank (IRL)",,31881,40-44,01:16:31,02:33:18,,2016
2507,124,19,"» Bulman, Sharon (GBR)",New Mars...,601,40-44,01:29:16,03:04:15,,2016
124,124,104,"» Ribault, Matthieu (FRA)",Thames Va...,843,18-39,01:16:42,02:33:19,,2016
125,125,105,"» Heal, Jim (GBR)",Serpenti...,938,18-39,01:14:31,02:33:20,,2016
2513,125,20,"» O'Hara, Katherine (GBR)",Arena 8...,339,40-44,01:28:25,03:04:16,,2016
127,126,106,"» Russell, Keith (IRL)",Reading ...,754,18-39,01:17:06,02:33:23,,2016
2524,126,89,"» Shields, Tanya (GBR)",Edinburgh ...,635,18-39,01:30:02,03:04:23,,2016
2532,127,21,"» Shackleton, Zoe (GBR)",Ely Runn...,28676,40-44,01:30:28,03:04:28,,2016
128,127,4,"» Spielmann, Karl (GBR)",Midhurst M...,743,45-49,01:15:16,02:33:24,,2016
129,128,107,"» Livesey, Ian (GBR)",Barlick Fe...,1271,18-39,01:16:27,02:33:27,,2016
2536,128,90,"» tomaszczyk, Sophie (GBR)",West 4 H...,436,18-39,01:28:22,03:04:29,,2016
2537,129,91,"» Vickers, Roanna (GBR)",British A...,476,18-39,01:29:33,03:04:30,,2016
130,129,17,"» White, Kieran (GBR)",Hercules ...,1083,40-44,01:15:11,02:33:36,,2016
2540,130,4,"» Murray, Emma (GBR)",St Austell...,27546,50-54,01:30:23,03:04:32,,2016
131,130,108,"» Pickburn, Alastair (GBR)",New For...,740,18-39,01:16:05,02:33:37,,2016
132,131,109,"» Garcia Sansano, Jorge (SUI)",ST Bern,53185,18-39,01:16:38,02:33:43,,2016
2552,131,22,"» Walmsley, Lucy (GBR)",Bourbon...,260,40-44,01:28:31,03:04:38,,2016
133,132,5,"» King, Darren (GBR)",Clowne ...,1200,45-49,01:16:22,02:33:46,,2016
2566,132,92,"» Murphy, Joanna (GBR)",Carnegie ...,235,18-39,01:30:12,03:04:45,,2016
2576,133,93,"» de Rome, Katherine (GBR)",King's Coll...,493,18-39,01:26:37,03:04:49,,2016
134,133,18,"» Fernandez, Paul (GBR)",Abingdon...,957,40-44,01:16:11,02:33:48,,2016
135,134,19,"» Dickinson, Mark (GBR)",Garden C...,700,40-44,01:16:06,02:33:53,,2016
2578,134,5,"» Goble, Sally (GBR)",Haslemer...,425,50-54,01:29:31,03:04:49,,2016
