Place overall,Place gender,Place category,Name,Club,Runner no,Category,HALF,FINISH,,year
125,1,1,"» Barlow, Tracy (GBR)",Thames Va...,289,18-39,01:16:42,02:33:20,,2016
1,1,1,"» Hehir, Sean (IRL)",Rathfarn...,1000,18-39,01:06:35,02:17:20,,2016
2,2,2,"» Martelletti, Paul (GBR)",Run Fast,1288,18-39,01:08:29,02:17:26,,2016
214,2,2,"» Muir, Tina (GBR)",,645,18-39,01:18:53,02:37:35,,2016
3,3,3,"» Frazer, Thomas (IRL)",St Mala...,1316,18-39,01:06:54,02:19:17,,2016
228,3,3,"» Munn, Hayley (GBR)",Wincheste...,494,18-39,01:18:25,02:38:04,,2016
239,4,4,"» Bruinvels, Georgie (GBR)",Aldershot...,552,18-39,01:17:32,02:38:13,,2016
4,4,4,"» Scott, Aaron (GBR)",Notts AC,1374,18-39,01:09:02,02:19:18,,2016
293,5,5,"» Hilland, Rebecca (GBR)",Team Bath...,207,18-39,01:19:29,02:39:45,,2016
5,5,1,"» Way, Steven (GBR)",Bournem...,1158,40-44,01:09:02,02:20:50,,2016
6,6,5,"» Payn, Thomas (GBR)",Run Fast,1120,18-39,01:09:01,02:21:20,,2016
300,6,1,"» Ponder, Rosamund (GBR)",West 4 H...,391,40-44,01:19:00,02:39:49,,2016
7,7,2,"» Kyereme, Kojo (GBR)",,1376,40-44,01:09:02,02:21:28,,2016
324,7,6,"» Webster, Katy (GBR)",London H...,621,18-39,01:19:44,02:40:30,,2016
342,8,7,"» Pirie, Lesley (GBR)",Victoria P...,251,18-39,01:19:26,02:41:04,,2016
8,8,6,"» Sanca, Ruben (USA)",Brooks -...,1351,18-39,01:08:59,02:21:28,,2016
423,9,8,"» Grima, Claire (GBR)",Hercules ...,574,18-39,01:20:03,02:42:51,,2016
9,9,7,"» Kallenberg, Michael (GBR)",Raf,1335,18-39,01:09:02,02:21:38,,2016
444,10,9,"» Clements, Amy (GBR)",Kent AC,397,18-39,01:18:29,02:43:11,,2016
10,10,3,"» O'Hanlon, Gary (IRL)",Clonliffe H...,1355,40-44,01:10:01,02:21:42,,2016
527,11,10,"» Firth, Charlotte (GBR)",Windsor ...,491,18-39,01:21:01,02:44:34,,2016
11,11,8,"» Robinson, Stuart (GBR)",Salford H...,840,18-39,01:09:44,02:21:55,,2016
556,12,11,"» Edwards, Rosie (GBR)",Rotherha...,579,18-39,01:20:08,02:45:04,,2016
12,12,9,"» Ryde, Carl (GBR)",Doncast...,1066,18-39,01:11:03,02:23:04,,2016
13,13,10,"» Bennett, Matthew (GBR)",Southam...,789,18-39,01:10:08,02:23:13,,2016
596,13,12,"» Boniface, Anna (GBR)",Reading Ac,409,18-39,01:22:21,02:45:53,,2016
14,14,11,"» Le Grice, Peter (GBR)",Bristol a...,856,18-39,01:09:59,02:23:16,,2016
619,14,13,"» Rankin, Gemma (GBR)",Kilbarcha...,520,18-39,01:21:25,02:46:34,,2016
620,15,2,"» Coates, Jo (GBR)",Saint Ed...,462,40-44,01:22:04,02:46:35,,2016
15,15,12,"» Renault, Neil (GBR)",Edinburg...,1141,18-39,01:10:38,02:23:31,,2016
704,16,14,"» Graham, Laura (NIR)",mourne r...,535,18-39,01:19:02,02:48:03,,2016
16,16,13,"» Kelly, James (GBR)",Belgrave ...,997,18-39,01:11:02,02:23:48,,2016
17,17,14,"» Gierjatowicz, Patryk (GBR)",Hunters ...,1257,18-39,01:11:18,02:24:00,,2016
711,17,15,"» Nicholson, Rose (GBR)",Waveney ...,380,18-39,01:22:11,02:48:16,,2016
769,18,16,"» Lovig, Christy (CAN)",Aldershot Fa...,365,18-39,01:24:51,02:48:55,,2016
18,18,15,"» Poole, Jonathan (GBR)",Serpenti...,1029,18-39,01:11:03,02:24:09,,2016
790,19,17,"» Fowler, Eleanor (GBR)",Nuneaton...,350,18-39,01:25:21,02:49:16,,2016
19,19,16,"» McKenna, Jarlath (GBR)",Bristol &...,972,18-39,01:10:52,02:24:12,,2016
20,20,4,"» Lowe, Gareth Edward (GBR)",Clowne ...,669,40-44,01:10:14,02:24:13,,2016
834,20,18,"» Ross, Fionnuala (GBR)",Armagh Ac,556,18-39,01:19:19,02:49:57,,2016
21,21,17,"» Arrospide, Iraitz (ESP)",City Of S...,1203,18-39,01:10:08,02:24:51,,2016
870,21,19,"» Parry-Williams, Jessica (GBR)",Les Crou...,591,18-39,01:23:18,02:50:33,,2016
22,22,18,"» Dixon, Shaun (GBR)",Highgate ...,1149,18-39,01:09:02,02:25:04,,2016
997,22,20,"» Oldroyd, Hannah (GBR)",Uknetrun...,472,18-39,01:26:23,02:52:03,,2016
23,23,19,"» Jenkin, Mark (GBR)",Bideford...,1273,18-39,01:12:24,02:25:10,,2016
1033,23,21,"» Stone, Serane (GBR)",Tiverton ...,373,18-39,01:24:52,02:52:31,,2016
1034,24,22,"» Allen, Laura (GBR)",Totley AC,438,18-39,01:23:38,02:52:34,,2016
24,24,20,"» Shearer, Ben (GBR)",Cambridge...,963,18-39,01:12:13,02:25:13,,2016
1045,25,23,"» Dohren, Mandy (GBR)",Victoria P...,362,18-39,01:24:53,02:52:44,,2016
25,25,21,"» Johnson, Grant (GBR)",Salford H...,817,18-39,01:12:14,02:25:16,,2016
1048,26,1,"» Cumber, Sarah Louise (GBR)",Halifax Ha...,467,45-49,01:23:02,02:52:47,,2016
26,26,22,"» Greenleaf, Andy (GBR)",Serpentin...,750,18-39,01:10:38,02:25:17,,2016
1052,27,3,"» Crowe, Emma (GBR)",Wrexhamac,544,40-44,01:23:20,02:52:53,,2016
27,27,23,"» Morgan, Dave (GBR)",Serpenti...,715,18-39,01:11:20,02:25:21,,2016
28,28,24,"» Greig, Kyle (GBR)",Forres Ha...,1130,18-39,01:11:19,02:25:23,,2016
1062,28,24,"» Kenny, Victoria (GBR)",Hadleigh ...,497,18-39,01:25:25,02:53:03,,2016
29,29,5,"» Keal, Rob (GBR)",Notts Ac,1312,40-44,01:12:11,02:25:37,,2016
1069,29,4,"» Moore, Diane (GBR)",Headingt...,567,40-44,01:23:46,02:53:10,,2016
1138,30,1,"» Elms, Clare (GBR)",Dulwich R...,505,50-54,01:25:45,02:53:52,,2016
30,30,25,"» Shatrov, Vladimir (AUS)",Newcastl...,1378,18-39,01:09:03,02:25:47,,2016
31,31,26,"» Quinn, Iain (GBR)",Barrow &...,787,18-39,01:12:04,02:25:49,,2016
1139,31,25,"» Rose, Charlotte (GBR)",City Of ...,304,18-39,01:27:10,02:53:52,,2016
32,32,27,"» Bazeille, Sebastien (FRA)",Southampto...,1132,18-39,01:12:12,02:25:58,,2016
1156,32,26,"» Webber, Wendy (GBR)",Marshall Mil...,300,18-39,01:25:23,02:54:04,,2016
33,33,28,"» Annable, Dale (GBR)",Notts Ac,1152,18-39,01:12:45,02:26:26,,2016
1166,33,27,"» Jones, Nerys (GBR)",Army,487,18-39,01:25:50,02:54:10,,2016
34,34,29,"» bentley, russell (GBR)",Kent Ac,969,18-39,01:12:32,02:26:26,,2016
1177,34,5,"» Nelson, Joanne (GBR)",Darwen ...,363,40-44,01:26:38,02:54:18,,2016
35,35,30,"» Preece, Rowan Jack Atherstone (GBR)",St Marys ...,1377,18-39,01:13:31,02:26:27,,2016
1184,35,28,"» Towerton, Kate (GBR)",Winchester...,565,18-39,01:26:18,02:54:20,,2016
36,36,31,"» Mcgrath, Tom (CAN)",Team Ba...,1209,18-39,01:13:30,02:26:51,,2016
1204,36,29,"» Mitchell, Naomi (GBR)",Reading At...,408,18-39,01:24:21,02:54:31,,2016
1224,37,6,"» Banks, Andrea (GBR)",Jersey ...,266,40-44,01:26:27,02:54:46,,2016
37,37,6,"» Couldwell, Mark (GBR)",Charnwo...,1111,40-44,01:13:10,02:26:58,,2016
1279,38,7,"» Hill, Sarah (GBR)",Farnham...,353,40-44,01:20:50,02:55:17,,2016
38,38,7,"» Meacock, David (GBR)",Basingst...,706,40-44,01:12:50,02:26:58,,2016
39,39,32,"» Aldred, Tom (GBR)",London H...,1286,18-39,01:11:05,02:27:12,,2016
1286,39,30,"» Penfold, Rose (GBR)",Fulham Ru...,469,18-39,01:27:56,02:55:20,,2016
40,40,33,"» Lowther, Adrian (GBR)",Medway ...,757,18-39,01:13:38,02:27:14,,2016
1302,40,31,"» Mcewing, Alison (GBR)",Erme Vall...,401,18-39,01:24:38,02:55:26,,2016
1306,41,32,"» Atkinson, Rebecca (GBR)",Windsor ...,589,18-39,01:27:19,02:55:27,,2016
41,41,34,"» Grantham, Lee (GBR)",East Ches...,945,18-39,01:09:02,02:27:24,,2016
1314,42,33,"» Collins, Lucy (GBR)",Stainland...,334,18-39,01:28:16,02:55:31,,2016
42,42,35,"» Natali, Paolo (GBR)",Achilles C...,1254,18-39,01:11:04,02:27:32,,2016
1340,43,34,"» Harvey, Rose (GBR)",Clapham ...,238,18-39,01:27:17,02:55:41,,2016
43,43,8,"» Wardian, Michael (USA)",Serpentin...,1169,40-44,01:11:14,02:27:37,,2016
1384,44,2,"» Johnson, Treena (GBR)",Dewsbur...,308,50-54,01:27:21,02:56:00,,2016
44,44,36,"» Spencer, Stuart (GBR)",Notts AC,1147,18-39,01:13:53,02:27:40,,2016
45,45,9,"» Burney, Richard (GBR)",Liverpool...,1381,40-44,01:11:19,02:27:40,,2016
1459,45,8,"» Sesto, Valeria (GBR)",New For...,213,40-44,01:23:55,02:56:37,,2016
46,46,37,"» Gunby, Matthew (GBR)",Woodford...,1216,18-39,01:13:00,02:27:43,,2016
1493,46,35,"» Sole, Amy (GBR)",Cornwall...,294,18-39,01:27:53,02:56:47,,2016
1494,47,36,"» DeLucia, Francesca (USA)",,55178,18-39,01:29:31,02:56:47,,2016
47,47,38,"» Jackaman, Robert (GBR)",Cambridge...,1232,18-39,01:13:33,02:27:49,,2016
1496,48,9,"» Brown, Ella (GBR)",Alnwick H...,292,40-44,01:27:36,02:56:50,,2016
48,48,39,"» Johnson, Ben (GBR)",Southport...,1317,18-39,01:13:01,02:27:55,,2016
1517,49,37,"» Cross, Helen (GBR)",Pocklingt...,528,18-39,01:28:04,02:56:58,,2016
49,49,40,"» Mcwhirter, Blair (NZL)",Ilford,1076,18-39,01:12:10,02:28:12,,2016
50,50,41,"» Cieluszecki, Jacek (GBR)",Bournem...,1275,18-39,01:14:08,02:28:17,,2016
1524,50,38,"» Lomas, Katie (GBR)",Charnwo...,320,18-39,01:25:12,02:57:00,,2016
1543,51,2,"» Warner, Julie (GBR)",,27088,45-49,01:29:19,02:57:07,,2016
51,51,42,"» Wright, Michael (GBR)",Central Ath...,695,18-39,01:12:07,02:28:29,,2016
1547,52,39,"» Alexander, Hannah (GBR)",,47612,18-39,01:24:41,02:57:08,,2016
52,52,43,"» Lighting, Peter Stuart (GBR)",,1379,18-39,01:14:19,02:28:31,,2016
1562,53,40,"» Hazel, Sarah (GBR)",Thames ...,502,18-39,01:23:28,02:57:16,,2016
53,53,44,"» Jones, Matthew (GBR)",Thames ...,892,18-39,01:14:05,02:28:35,,2016
54,54,10,"» Farrow, Kevin (GBR)",Notts Ac,930,40-44,01:14:17,02:28:37,,2016
1569,54,10,"» Green, Nicola (GBR)",Barnsley...,532,40-44,01:28:25,02:57:19,,2016
1575,55,11,"» Baxter, Marie (GBR)",Garioch ...,188,40-44,01:25:48,02:57:22,,2016
55,55,45,"» Cole, Ben (GBR)",Tonbridg...,960,18-39,01:11:53,02:28:52,,2016
1589,56,41,"» Sarkies, Amy (GBR)",,194,18-39,01:28:49,02:57:25,,2016
56,56,46,"» Watts, Glen (GBR)",Shaftesbu...,1207,18-39,01:12:12,02:28:57,,2016
57,57,47,"» Gaffney, Daniel (GBR)",South Lo...,1307,18-39,01:14:20,02:29:14,,2016
1591,57,12,"» Rendell, Sarah (GBR)",Alchester...,500,40-44,01:28:14,02:57:26,,2016
1618,58,42,"» Molinaro, Carla (GBR)",Windsor S...,407,18-39,01:21:43,02:57:34,,2016
58,58,48,"» Power, Trevor (IRL)",,31907,18-39,01:13:41,02:29:15,,2016
1634,59,43,"» Ballantyne, Emma (GBR)",City Of...,492,18-39,01:28:19,02:57:40,,2016
59,59,49,"» Bartlett, John (AUS)",Tynedale ...,910,18-39,01:14:05,02:29:18,,2016
1639,60,3,"» Wallington, Helen (GBR)",Totton Ru...,537,45-49,01:29:35,02:57:41,,2016
60,60,50,"» Westlake, James (GBR)",Crawley...,1159,18-39,01:14:12,02:29:19,,2016
61,61,51,"» Jordan, Chris (GBR)",Leicester ...,845,18-39,01:14:03,02:29:20,,2016
1653,61,1,"» Mair, Angharad (GBR)",Les Crou...,504,55-59,01:26:39,02:57:46,,2016
1660,62,44,"» martin, nina (GBR)",Newbury A...,273,18-39,01:29:09,02:57:48,,2016
62,62,52,"» Torry, Hugh (GBR)",Serpenti...,1206,18-39,01:15:15,02:29:25,,2016
63,63,53,"» Hopkins, Craig (GBR)",Swansea...,1255,18-39,01:09:02,02:29:37,,2016
1669,63,45,"» Mccandless, Joanne (GBR)",,41533,18-39,01:29:10,02:57:51,,2016
64,64,54,"» Charles, Tom (GBR)",Trafford...,1197,18-39,01:14:30,02:29:38,,2016
1695,64,46,"» Cole, Michelle (GBR)",3m Road...,25146,18-39,01:24:31,02:57:56,,2016
1705,65,47,"» Murray, Celine (GBR)",London ...,404,18-39,01:29:07,02:58:00,,2016
65,65,1,"» pennington, gary (GBR)",Preston H...,1253,45-49,01:13:29,02:29:40,,2016
1712,66,4,"» Davis-Foxon, Sarah (GBR)",Northam...,386,45-49,01:26:16,02:58:02,,2016
66,66,11,"» Rossiter, Jeremy (GBR)",Skye & L...,708,40-44,01:14:45,02:29:41,,2016
1716,67,48,"» Jones, Katie (GBR)",Fife Athle...,202,18-39,01:28:23,02:58:02,,2016
67,67,55,"» Torry, Nicholas (GBR)",Serpentine,1191,18-39,01:15:15,02:29:42,,2016
1722,68,49,"» Ashe, Lucy Sarah (GBR)",Metros,240,18-39,01:27:29,02:58:05,,2016
68,68,56,"» kendall, Danny (GBR)",Cambridge...,821,18-39,01:14:33,02:29:53,,2016
69,69,57,"» Avery, Lawrence (GBR)",Kent AC,1298,18-39,01:14:06,02:29:53,,2016
1779,69,50,"» Brockbank, Nikki (GBR)",Springfield...,336,18-39,01:29:16,02:58:23,,2016
1806,70,51,"» Gill, Susannah (GBR)",,30174,18-39,01:24:16,02:58:31,,2016
70,70,58,"» Rees, Matthew (GBR)",Swansea ...,857,18-39,01:14:00,02:29:55,,2016
71,71,59,"» Darby, Alan (GBR)",Ely Runn...,1178,18-39,01:12:42,02:29:55,,2016
1873,71,5,"» Tow, Maria Noel (ARG)",www.carrer...,59965,45-49,01:29:07,02:58:49,,2016
72,72,60,"» Ahmed, Belal (EGY)",Hercules ...,739,18-39,01:12:33,02:29:57,,2016
1886,72,52,"» Lewis, Tamsin (GBR)",Poole Ac,216,18-39,01:26:32,02:58:52,,2016
1888,73,53,"» Baker, Rachel (GBR)",Clapham ...,479,18-39,01:27:18,02:58:52,,2016
73,73,12,"» Renou, Ludovic (FRA)",Leicester ...,1166,40-44,01:14:03,02:30:04,,2016
1914,74,54,"» Anthony, Helen (GBR)",Teignbridg...,551,18-39,01:28:26,02:59:01,,2016
74,74,61,"» Sharp, Stuart (GBR)",Holmfirth ...,888,18-39,01:13:36,02:30:04,,2016
75,75,62,"» Hards, Darryl (GBR)",Brighton...,1290,18-39,01:13:01,02:30:10,,2016
1920,75,55,"» Wood, Rachel (GBR)",Blackburn...,499,18-39,01:27:03,02:59:02,,2016
1943,76,56,"» Harrison, Rebecca (GBR)",Cheadle...,268,18-39,01:25:23,02:59:11,,2016
76,76,63,"» Newton, Mark (GBR)",Springfield...,1087,18-39,01:14:08,02:30:20,,2016
1964,77,57,"» Broadbent, Victoria (GBR)",Bearbroo...,610,18-39,01:28:27,02:59:17,,2016
77,77,64,"» Green, David (GBR)",Northam...,1225,18-39,01:14:03,02:30:22,,2016
1984,78,58,"» Elvin, Jennifer (GBR)",Clapham ...,539,18-39,01:29:02,02:59:23,,2016
78,78,65,"» O Shea, Alan (IRL)",Hearn Hill...,1270,18-39,01:08:39,02:30:31,,2016
1985,79,6,"» Hoskins, Carrie Caroline (GBR)",Reading ...,584,45-49,01:27:08,02:59:24,,2016
79,79,13,"» Whitwam, Ady (GBR)",Morpeth ...,1289,40-44,01:13:05,02:30:34,,2016
1995,80,59,"» Bryan, Danielle (AUS)",Kenilwort...,395,18-39,01:31:02,02:59:26,,2016
80,80,66,"» Davies, Daniel (GBR)",Barnet & ...,1214,18-39,01:11:19,02:30:40,,2016
81,81,67,"» Chettle, James (GBR)",Thames ...,1282,18-39,01:14:07,02:30:44,,2016
2013,81,60,"» Snare, Frankie (GBR)",Witney R...,445,18-39,01:29:03,02:59:30,,2016
82,82,68,"» Pilcher, Alex (GBR)",Derby Ac,1176,18-39,01:11:56,02:30:44,,2016
2043,82,61,"» Weeks, Liz (GBR)",Medway a...,258,18-39,01:24:45,02:59:40,,2016
2058,83,13,"» Meeten, Kirstie (GBR)",Bedford ...,433,40-44,01:27:52,02:59:48,,2016
83,83,69,"» O'Connell, Martin (GBR)",Serpentine,1112,18-39,01:12:49,02:30:45,,2016
2062,84,7,"» Baker, Sally (GBR)",Rugby A...,461,45-49,01:27:59,02:59:49,,2016
84,84,70,"» Parslow, Jack (GBR)",Dacorum ...,1093,18-39,01:11:03,02:31:01,,2016
2066,85,62,"» Mansell, Natasha (GBR)",Bracknell...,634,18-39,01:28:31,02:59:50,,2016
85,85,71,"» Sawrey, Michael (GBR)",Stockport...,871,18-39,01:14:31,02:31:04,,2016
2076,86,3,"» Lascelles, Lin (GBR)",Maiden N...,454,50-54,01:26:32,02:59:55,,2016
86,86,72,"» Laws, Oliver (GBR)",Newham ...,1239,18-39,01:14:08,02:31:09,,2016
87,87,73,"» Eccles, michael (GBR)",Norfolk G...,811,18-39,01:14:18,02:31:24,,2016
2102,87,63,"» Stringer, Rachel (GBR)",,29292,18-39,01:31:51,03:00:15,,2016
2103,88,64,"» Bland, Gill (GBR)",BBC Run...,646,18-39,01:29:51,03:00:16,,2016
88,88,74,"» Parkinson, Fintan (GBR)",Blackhea...,1097,18-39,01:15:03,02:31:34,,2016
89,89,75,"» Glaz, Daniel (USA)",Fleet Fee...,1373,18-39,01:10:15,02:31:35,,2016
2110,89,65,"» Thiemann, Pia (GER)",,28924,18-39,01:29:15,03:00:21,,2016
90,90,76,"» Ahmed, Hussein (EGY)",Certain T...,756,18-39,01:14:18,02:31:36,,2016
2111,90,66,"» Unsworth, Vicky (GBR)",Liverpool ...,595,18-39,01:29:35,03:00:21,,2016
91,91,77,"» Chapman, Toby (GBR)",Bournem...,799,18-39,01:14:45,02:31:38,,2016
2125,91,67,"» Knass, Jenny (GBR)",Stockport...,480,18-39,01:28:24,03:00:30,,2016
2146,92,14,"» Prideaux, Emma (GBR)",Billericay ...,394,40-44,01:28:35,03:00:44,,2016
92,92,78,"» tipper, jonathan (GBR)",Kent Ac,1034,18-39,01:14:19,02:31:39,,2016
2148,93,15,"» Cambridge, Lucy (GBR)",Wolverham...,287,40-44,01:28:48,03:00:44,,2016
93,93,79,"» Croft, Joe (GBR)",South Lo...,1188,18-39,01:14:51,02:31:42,,2016
94,94,80,"» King, George (GBR)",Winchester...,1059,18-39,01:14:32,02:31:45,,2016
2156,94,68,"» Rosa, Jessica (GBR)",Clapham ...,456,18-39,01:29:53,03:00:51,,2016
2179,95,69,"» Harling, Leanne (GBR)",Serpentine,382,18-39,01:27:00,03:01:01,,2016
95,95,81,"» Millard, Thomas (GBR)",Canterbur...,731,18-39,01:14:15,02:31:48,,2016
96,96,82,"» Hazell, Scott (GBR)",Coventry ...,794,18-39,01:14:06,02:31:59,,2016
2188,96,16,"» Sandell, Nikki (GBR)",Bournem...,435,40-44,01:26:52,03:01:06,,2016
2219,97,8,"» Gilman, Deborah (GBR)",Hatton D...,330,45-49,01:27:35,03:01:36,,2016
97,97,83,"» Hogan, Sean (GBR)",Poole Ru...,980,18-39,01:15:29,02:32:07,,2016
2220,98,70,"» Donges, Sophie (GBR)",Vphthac,172,18-39,01:31:08,03:01:36,,2016
98,98,84,"» Rendall, Julian (GBR)",Tonbridge ...,663,18-39,01:14:25,02:32:14,,2016
99,99,85,"» Ashford, Christopher (GBR)",Birmingham ...,778,18-39,01:16:27,02:32:15,,2016
2267,99,71,"» horswell, clara (GBR)",shettlesto...,20779,18-39,01:29:34,03:02:08,,2016
2273,100,9,"» Holden, Meriel (GBR)",Wimbledon ...,346,45-49,01:30:09,03:02:13,,2016
100,100,86,"» Woodward, Anthony (GBR)",Hermitage...,783,18-39,01:14:03,02:32:17,,2016
2316,101,17,"» Dews, Emma (GBR)",Bournemout...,424,40-44,01:26:40,03:02:38,,2016
101,101,87,"» Santos Charry, Nicolas (COL)",www.carrer...,59954,18-39,01:15:16,02:32:19,,2016
2317,102,72,"» GALLOP, Rebecca (GBR)",Newark At...,324,18-39,01:31:04,03:02:39,,2016
102,102,88,"» Gumbrill, Stephen (GBR)",Hart Ro...,874,18-39,01:16:25,02:32:22,,2016
103,103,89,"» Clark, Anthony (GBR)",Bournem...,886,18-39,01:14:51,02:32:25,,2016
2336,103,10,"» Folland, Anna (GBR)",Bedford ...,357,45-49,01:31:45,03:02:49,,2016
104,104,90,"» Hunt, Daniel (GBR)",Lordshill...,1106,18-39,01:15:02,02:32:28,,2016
2344,104,73,"» Whiley, Alice (GBR)",Clapham ...,296,18-39,01:29:06,03:02:54,,2016
105,105,91,"» Jones, Carwyn (GBR)",Colcheste...,1096,18-39,01:16:23,02:32:29,,2016
2347,105,74,"» West, Suzy (GBR)",Eye Com...,602,18-39,01:30:50,03:02:55,,2016
106,106,2,"» Dalkins, Mark (GBR)",Cheadle R...,1184,45-49,01:12:26,02:32:31,,2016
2351,106,75,"» Newstead, Rachel (GBR)",London H...,369,18-39,01:29:24,03:02:59,,2016
2355,107,76,"» Donovan, Julia (GBR)",Wimbledon ...,604,18-39,01:29:17,03:03:00,,2016
107,107,92,"» Graves, Paul (GBR)",DH Runn...,848,18-39,01:16:18,02:32:32,,2016
2359,108,77,"» Dransfield, Laura (GBR)",Roundha...,429,18-39,01:28:00,03:03:01,,2016
108,108,93,"» Gruot, Xavier (FRA)",Serpenti...,870,18-39,01:16:30,02:32:36,,2016
109,109,14,"» Davies, Hywel (GBR)",Mccarkiss...,974,40-44,01:13:33,02:32:37,,2016
2370,109,11,"» Neesam, Kay (GBR)",New Mars...,375,45-49,01:29:03,03:03:08,,2016
2374,110,78,"» Foran, Emily (GBR)",Sleaford...,443,18-39,01:29:30,03:03:10,,2016
110,110,94,"» Sellens, Chris (GBR)",Colcheste...,823,18-39,01:15:50,02:32:38,,2016
111,111,15,"» May, Andy (GBR)",Valley Str...,1235,40-44,01:15:35,02:32:39,,2016
2385,111,12,"» Rockliffe, Jacqueline (GBR)",Avon Val...,536,45-49,01:30:09,03:03:17,,2016
112,112,1,"» Rackham, Nigel (GBR)",Metros Rc,975,50-54,01:16:20,02:32:41,,2016
2398,112,79,"» Walker, Victoria (GBR)",Shaftesbu...,322,18-39,01:27:27,03:03:24,,2016
113,113,95,"» Bowler, James (GBR)",Kent Ac,802,18-39,01:13:39,02:32:52,,2016
2437,113,80,"» Dale, Jennifer (GBR)",Birmingham ...,247,18-39,01:29:58,03:03:39,,2016
114,114,96,"» Farmer, Jamie (GBR)",Redway ...,946,18-39,01:16:06,02:32:58,,2016
2439,114,81,"» Stringfellow, Frances (NZL)",,54246,18-39,01:30:34,03:03:40,,2016
115,115,3,"» Walton, Jonathan (GBR)",Leeds Ci...,1185,45-49,01:14:24,02:33:03,,2016
2442,115,82,"» Wright, Vicky (GBR)",Hyde Villa...,28136,18-39,01:31:04,03:03:41,,2016
116,116,97,"» Delderfield, Luke (GBR)",Tring Run...,1261,18-39,01:15:27,02:33:06,,2016
2450,116,18,"» North, Heidi (GBR)",Stroud & Dis...,234,40-44,01:26:57,03:03:44,,2016
117,117,98,"» Lorenzo, Giulio (ITA)",,59766,18-39,01:14:24,02:33:08,,2016
2478,117,83,"» Pretty, Sam (GBR)",Dunstabl...,441,18-39,01:29:53,03:04:01,,2016
118,118,99,"» Beedell, Simon (GBR)",Woodfor...,694,18-39,01:16:21,02:33:09,,2016
2481,118,13,"» Hardman, Tamara (GBR)",Rugby & No...,444,45-49,01:29:53,03:04:02,,2016
119,119,100,"» Knudsen, Edward (GBR)",Army/Ips...,1353,18-39,01:16:09,02:33:09,,2016
2483,119,84,"» Spar, Jessica (USA)",The Rese...,40423,18-39,01:31:42,03:04:04,,2016
2486,120,85,"» Skinner, Margaret (GBR)",Stamford ...,245,18-39,01:28:22,03:04:05,,2016
120,120,101,"» Tomlinson, Gavin (GBR)",Trafford A...,1138,18-39,01:14:30,02:33:09,,2016
2494,121,86,"» Beever, Margaret (GBR)",Stainland...,600,18-39,01:31:40,03:04:09,,2016
121,121,102,"» Prout, Ryan (GBR)",Chelmsfo...,693,18-39,01:14:06,02:33:10,,2016
122,122,103,"» Besson, Nicolas (FRA)",Serpenti...,31882,18-39,01:15:40,02:33:15,,2016
